,ENTREZID,SYMBOL
383,10755,GIPC1
384,10762,NUP50
385,10765,KDM5B
386,10768,AHCYL1
387,10769,PLK2
388,10775,POP4
389,10788,IQGAP2
390,10795,ZNF268
391,108,ADCY2
392,10802,SEC24A
393,10809,STARD10
394,1081,CGA
395,10810,WASF3
396,10811,NOXA1
397,10817,FRS3
398,10827,FAM114A2
399,10848,PPP1R13L
400,10858,CYP46A1
401,10861,SLC26A1
402,10868,USP20
403,10874,NMU
404,10875,FGL2
405,10884,MRPS30
406,10888,GPR83
407,10891,PPARGC1A
408,10898,CPSF4
409,10907,TXNL4A
410,10912,GADD45G
411,10914,PAPOLA
412,10915,TCERG1
413,10943,MSL3
414,10949,HNRNPA0
415,10950,BTG3
416,10953,TOMM34
417,10957,PNRC1
418,10960,LMAN2
419,10961,ERP29
420,10970,CKAP4
421,10973,ASCC3
422,10975,UQCR11
423,10992,SF3B2
424,10999,SLC27A4
425,11004,KIF2C
426,11009,IL24
427,11010,GLIPR1
428,11019,LIAS
429,11021,RAB35
430,11023,VAX1
431,11041,B4GAT1
432,11043,MID2
433,11044,TENT4A
434,11047,ADRM1
435,11059,WWP1
436,11063,SOX30
437,11064,CNTRL
438,11065,UBE2C
439,11068,CYB561D2
440,11072,DUSP14
441,11073,TOPBP1
442,11076,TPPP
443,11077,HSF2BP
444,11079,RER1
445,11092,SPACA9
446,11103,KRR1
447,11107,PRDM5
448,11108,PRDM4
449,11122,PTPRT
450,11124,FAF1
451,11130,ZWINT
452,11132,CAPN10
453,11140,CDC37
454,11149,BVES
455,11152,WDR45
456,11153,FICD
457,11160,ERLIN2
458,11165,NUDT3
459,11166,SOX21
460,11169,WDHD1
461,11171,STRAP
462,11172,INSL6
463,11180,WDR6
464,11182,SLC2A6
465,1119,CHKA
466,1120,CHKB
467,11211,FZD10
468,11214,AKAP13
469,11215,AKAP11
470,11218,DDX20
471,11219,TREX2
472,11228,RASSF8
473,1123,CHN1
474,11230,PRAF2
475,11231,SEC63
476,11232,POLG2
477,11234,HPS5
478,11235,PDCD10
479,11236,RNF139
480,112399,EGLN3
481,11240,PADI2
482,11243,PMF1
483,112464,CAVIN3
484,11248,NXPH3
485,11249,NXPH2
