,Var1,Freq
1043,Adssl1,1
1046,Aen,1
1047,Afap1,1
1048,Afap1l1,1
1049,Afap1l2,4
1052,Aff3,1
1057,Afmid,2
1061,Agap2,2
1062,Agap3,5
1063,Agbl2,2
1065,Agbl4,1
1072,Agmat,1
1073,Ago1,1
1074,Ago2,2
1076,Ago4,1
1083,Agtpbp1,2
1084,Agtr1a,1
1085,Agtr1b,1
1088,Ahcyl,1
1089,Ahcyl2,2
1093,Ahnak2,1
1096,Ahsa1,1
1098,AI115009,2
1100,AI314278,1
1102,AI463229,1
1104,AI504432,1
1105,AI506816,1
1107,AI662270,1
1108,AI839979,1
1109,AI854703,2
1112,Aif1,2
1113,Aifm2,3
1114,Aifm3,1
1116,Aip,1
1118,Airn,1
1119,Ajap1,3
1121,Ajuba,1
1122,Ak1,3
1126,Ak6,1
1128,Akain1,1
1129,Akap1,1
1130,Akap10,1
1131,Akap11,1
1132,Akap12,1
1134,Akap17a,1
1135,Akap17b,1
1136,Akap5,2
1137,Akap6,3
1141,Akap9,1
1144,Akirin2,1
1146,Akp3,1
1150,Akr1b8,2
1151,Akr1c21,1
1153,Akr7a5,1
1154,Akt1,2
1155,Akt1s1,1
1160,Alas1,1
1161,Albfm1,2
1163,Aldh18a1,1
1164,Aldh1a2,1
1166,Aldh1l1,2
1169,Aldh3a1,1
1171,Aldh3b1,1
1172,Aldh3b2,2
1176,Aldh8a1,1
1178,Aldoa,1
1184,Alg5,1
1189,Alkal1,1
1193,Alkbh4,1
1198,Allc,1
1199,Alms1,1
1200,Alox12b,1
1202,Alox15,1
1203,Alox5ap,2
1205,Aloxe3,1
1206,Alpk1,2
1207,Alpk3,1
1208,Alpl,3
1209,Alppl2,1
1211,Altre,1
1212,Alyref,1
1213,Alyref2,1
1220,Amer2,1
1222,Amfr,1
1223,Amh,2
1224,Amhr2,2
1225,Amigo1,1
1226,Ammecr1,1
1227,Ammecr1l,1
1228,Amn,1
1229,Amn1,1
1231,Amotl1,4
1232,Amotl2,1
1233,Ampd2,2
1235,Amph,1
1243,Anapc4,1
1246,Ang,1
1247,Ang5,1
1250,Angpt1,1
1253,Angptl4,1
1254,Angptl6,1
1255,Ank,2
1256,Ank1,6
1260,Ankdd1b,1
1262,Ankfy1,1
1263,Ankhd1,1
1265,Ankle1,1
1268,Ankmy2,1
1269,Ankra2,1
1271,Ankrd11,2
1272,Ankrd12,1
1273,Ankrd13a,1
1274,Ankrd13b,1
1278,Ankrd17,1
1279,Ankrd2,1
1282,Ankrd27,1
1285,Ankrd33b,2
1286,Ankrd34a,1
1287,Ankrd34b,1
1288,Ankrd34c,2
1291,Ankrd39,1
1292,Ankrd40,1
1293,Ankrd42,1
1294,Ankrd44,1
1295,Ankrd45,1
1298,Ankrd52,1
1302,Ankrd61,1
1303,Ankrd63,2
1304,Ankrd65,2
1305,Ankrd66,1
1306,Ankrd7,1
1307,Ankrd9,1
1311,Anks4b,1
1312,Anks6,1
1313,Ano10,1
1315,Ano3,1
1319,Anp32a,1
1322,Anpep,1
1323,Antkmt,1
1324,Antxr2,1
1325,Antxrl,1
1326,Anxa11,1
1328,Anxa4,3
1329,Anxa5,1
1332,Anxa8,1
1334,Aoah,1
1335,Aoc1,1
1339,Aox3,1
1340,Aox4,3
1341,Ap1ar,1
1344,Ap1g2,2
1348,Ap1s3,1
1349,Ap2a1,1
1351,Ap2b1,1
1357,Ap3m2,1
1358,Ap3s1,1
1361,Ap4s1,2
1362,Ap5b1,1
1363,Ap5m1,1
1364,Ap5s1,1
1367,Apba1,2
1368,Apba2,3
1370,Apbb1ip,1
1374,Apc2,3
1378,Aph1b,1
1379,Aph1c,1
1382,Aplf,1
1383,Apln,1
1384,Aplnr,1
1385,Aplp1,3
1386,Aplp2,1
1388,Apoa1,1
1389,Apoa2,1
1390,Apoa4,1
1391,Apobec1,1
1393,Apobec4,2
1394,Apoc1,1
1396,Apod,1
1397,Apoe,1
1398,Apol10b,1
1399,Apol11b,1
1401,Apold1,1
1403,App,1
1407,Aprt,1
1409,Aqp1,1
1411,Aqp6,1
1412,Aqp7,1
1413,Aqp8,1
1415,Ar,2
1417,Arap1,4
1420,Arcn1,1
1421,Areg,1
1426,Arf5,1
1427,Arf6,1
1434,Arg2,1
1435,Arhgap1,1
1436,Arhgap10,2
1439,Arhgap15,1
1442,Arhgap19,2
1443,Arhgap20,1
1444,Arhgap20os,1
1446,Arhgap22,2
1449,Arhgap25,3
1451,Arhgap27,1
1452,Arhgap27os3,1
1453,Arhgap28,1
1460,Arhgap40,1
1461,Arhgap42,1
1462,Arhgap44,1
1463,Arhgap45,1
1464,Arhgap5,1
1466,Arhgap9,1
1467,Arhgdia,1
1471,Arhgef10l,3
1474,Arhgef15,1
1475,Arhgef16,1
1476,Arhgef17,1
1480,Arhgef26,1
1484,Arhgef39,1
1486,Arhgef40,2
1487,Arhgef5,1
1489,Arhgef7,6
1490,Arhgef9,2
