"","Row.names","Gene.Symbol","ID","id","V12CBD","V15CBD","V59CBD","V75CBD","V77CBD","V96CBD","V99CBD","V100CBD","V12DMSO","V15DMSO","V59DMSO","V75DMSO","V77DMSO","V96DMSO","V99DMSO","V100DMSO"
"88","C2CD5","C2CD5","212943_at",580,-0.8453367,-0.8610485,-0.8652101,-0.8565739,-0.82012093,-0.833366,-0.86616707,-0.82253534,-0.83025473,-0.8839387,-0.8436467,-0.8456168,-0.83165866,-0.8312375,-0.831183,-0.8285784
"624","POLR2I","POLR2I","212955_s_at",581,-0.16183676,-0.29284576,-0.14697377,-0.23812051,-0.18299505,-0.07121527,-0.19918258,-0.4585124,0.012584815,-0.56689584,-0.020936593,-0.16051838,0.0189551,0.02411187,0.013898354,0.0021042696
"699","RFNG","RFNG","212968_at",582,0.09517231,-0.067855716,-0.07477015,-0.04092108,0.0840902,-0.06580873,0.1322941,0.0018596764,0.15978357,-0.15840495,0.12205832,0.06450837,0.13374741,0.14499412,0.1360993,0.11000256
"711","RPIA","RPIA","212973_at",583,-0.20822716,-0.44007218,-0.4502337,-0.5536995,-0.45819792,-0.44084015,-0.19042547,-0.2959566,-0.185611,-0.5922737,-0.24711336,-0.3556101,-0.19293451,-0.18931219,-0.17930676,-0.18282548
"365","HOXA10","HOXA10","213150_at",586,0.23315468,0.10367131,0.18181603,0.13394932,0.059514064,0.15192737,0.26165682,0.040424023,0.24705797,-0.01607562,0.25660768,0.18224649,0.1866695,0.18919457,0.24047591,0.1457087
"173","COG7","COG7","213190_at",587,0.8092838,3.6941047,2.503922,3.162716,1.7758782,1.9035698,0.75083953,4.083215,0.757166,5.3205066,1.218309,2.3211107,0.72152025,0.60725904,0.640786,0.8801157
"431","KLHL9","KLHL9","213233_s_at",588,1.046391,0.9923118,0.96479017,0.98986256,0.78502154,0.9465184,1.0550491,0.97351485,0.9643132,0.9762632,0.9539202,0.9995419,0.9982291,0.92925274,0.93029726,0.8889278
"772","SNX13","SNX13","213292_s_at",589,0.17396066,0.3860479,0.35349622,0.39630425,0.45788598,0.42005202,0.12769748,0.6269044,0.1853138,0.61571914,0.19923066,0.27367738,0.2484559,0.20833725,0.20192136,0.24205247
"319","GDPD5","GDPD5","213343_s_at",590,-0.88818485,-0.8663106,-0.87831765,-0.87387943,-0.88794404,-0.8881641,-0.8810725,-0.90842974,-0.8744295,-0.8853773,-0.8818518,-0.8623162,-0.87937015,-0.8827182,-0.876187,-0.8660378
"289","FCHO1","FCHO1","213669_at",593,-0.6386101,-0.61855376,-0.51827306,-0.6139977,-0.57751256,-0.67987067,-0.66539073,-0.639716,-0.6467371,-0.717392,-0.5788494,-0.6435993,-0.66722566,-0.6561031,-0.66384465,-0.6422393
"366","HOXA5","HOXA5","213844_at",596,0.36773762,0.042765316,-0.0312755,0.005646432,0.39267626,0.24250102,0.4257086,0.03275622,0.21548758,-0.25003812,0.151632,0.075925194,0.19815427,0.2182485,0.23730266,0.22920007
"815","TBC1D31","TBC1D31","214061_at",599,-0.6246307,-0.540507,-0.5859221,-0.5445697,-0.51928365,-0.5062939,-0.62140626,-0.593526,-0.6609936,-0.46939316,-0.6598722,-0.6127492,-0.6596719,-0.65022343,-0.6540449,-0.63924515
