cid,SMILES,value
7416,C1=CC=C(C=C1)[N+](=O)[O-],0
7436,CNCC(=O)C1=CC(=C(C=C1)O)O,0
7474,C1=CC(=CC=C1[N+](=O)[O-])Cl,0
7475,C1=CC(=CC=C1N)[N+](=O)[O-],0
7505,C1=CC=C(C=C1)C#N,0
7506,C1=CN=CC=C1C#N,0
7516,C1=CC=C(C=C1)NN,0
7522,C1=CC=NC(=C1)C#N,0
7540,C1=CC=C(C=C1)OP(OC2=CC=CC=C2)OC3=CC=CC=C3,0
7541,C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)Cl,0
7564,C1=CC=C(C=C1)NC2=CC=C(C=C2)N,0
7671,C1=CC=C(C=C1)NC=O,0
7673,C1=CC=C(C=C1)N=C=S,0
7693,C1=CC(=CC=C1N=C=O)Cl,0
7726,C1=CC(=CC=C1C=O)Cl,0
7807,C1=CC(=CC=C1N)Br,0
7812,C1=CC(=CC=C1N)Cl,0
7899,C(CCl)C(=O)O,0
7944,CC(CCl)OC(C)CCl,0
7972,CN1CCOCC1,0
7973,C1=CC=NC(=C1)Br,0
7977,C1=CC=NC(=C1)Cl,0
8053,CC(C)CCON=O,0
8074,C=COCCCl,0
8080,C1CC=COC1,0
8096,C(CSCCC(=O)O)C(=O)O,0
8228,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,0
8265,C12C(C(=O)OC1=O)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,0
8289,C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,0
8313,C(C(Cl)(Cl)Cl)(NC(=O)NC(C(Cl)(Cl)Cl)O)O,0
8359,C1=CC=C2C(=C1)C(=O)OC(=O)N2,0
8360,CC1(C(=O)N(C(=O)N1Cl)Cl)C,0
8394,C1=CC=C2C(=C1)C=NNC2=O,0
8405,C1=CC=C2C=NC=CC2=C1,0
8407,C1=CC=C(C=C1)NC2=CC=CC=C2[N+](=O)[O-],0
8486,C1=C(SC(=N1)N)[N+](=O)[O-],0
8540,C1CCC(CC1)C2=C(C(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-])O,1
8569,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2O)O,1
8640,C1=CC=C2C(=C1)C=CC=C2N,0
8684,CCCCN(CCCC)C(=S)[S-].CCCCN(CCCC)C(=S)[S-].[Zn+2],1
8691,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,0
8706,C1=CC=C2C(=C1)N=C(S2)N,0
8736,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],0
8765,C1=CC(=CC=C1N)SC2=CC=C(C=C2)N,0
8795,C1CN(CCN1)CCN,0
8816,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],1
8820,C(C#N)C(=O)NN,0
8861,C1=CC(=NC(=C1)N)N,0
8871,C1=CC(=O)NC=C1,0
8924,C(CCCNCCCCCCN)CCN,0
9117,C1=CC2=C3C(=C1)C4=CC=CC5=C4C6=C(C=C5)C=CC(=C36)C=C2,0
9128,C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C(C=CC=C25)C=C4,0
9161,C1=CC2=C3C(=C1)C=CC3=CC=C2,0
9171,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,0
9207,C1=CC=C2C=NN=CC2=C1,0
9217,C1=CC=C2C(=C1)OC3=CC=CC=C3S2,0
9223,C1=CC=C2C(=C1)C=CO2,0
9257,C1=NC=NN1,0
9275,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,1
9335,C[N+](CCCl)(CCCl)[O-],0
9351,C1=CC=C2C(=C1)C=NN=C2NN.Cl,0
9462,C1=CC(=CC=C1C2=CC=C(C=C2)F)N,0
9731,C1=CC(=CC=C1N)F,0
9740,C(C#N)C(=O)O,0
9795,C1=CC=C(C(=C1)C(F)(F)F)[N+](=O)[O-],0
9956,C1=CC(=C(N=C1)N)N,0
9993,C1=CC(=CC=C1F)Br,0
10009,C1=CC(=CN=C1)N,0
10219,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,1
10230,C1=CC=C2C(=C1)C(=NN=C2NN)NN,0
10241,C1=CC=C2C(=C1)C3=CC=CC=C3C2=O,0
10275,C1=CC=C(C=C1)C2=C(N=C(S2)N)N,0
10309,C1=COC(=C1)/C=N/C(/N=C/C2=CC=CO2)C3=CC=CO3,0
10316,C1=CC=C(C=C1)N=[N+](C2=CC=CC=C2)[O-],0
10439,C1=CC=NC(=C1)N,0
10522,CCOC(=O)C(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O,1
10638,C1=CC2=C(C(=C1)N)C(=O)NNC2=O,0
10690,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,0
10707,C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-],0
10832,C1=CC=C(C=C1)NC2=NC=NC(=N2)N,0
10855,C1=CC(=CC=C1N)N=NC2=CC=C(C=C2)N,0
10958,CC(C)CON=O,0
10989,CC(C)CCOCCC(C)C,0
11040,CC(C(=O)OC)O,0
11101,C1=CC=C(C(=C1)C=O)[N+](=O)[O-],0
11102,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(CC1=CC=C(C=C1)OC)C2=NC=CC=N2.[Br-],1
11442,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C,1
11604,C=CCCC#N,0
11746,C(C(C(=O)O)Br)Br,0
11803,C1=CC2=C(C=CC=C2[N+](=O)[O-])C(=C1)[N+](=O)[O-],0
11830,C1=CC2=C(C(=C1)[N+](=O)[O-])N=CC=C2,0
11987,C1=CC=C2C(=C1)N=C(S2)Cl,0
12018,C(C(CCl)Cl)O,0
12163,C1=CC(=CC=C1C#N)Cl,0
12244,CC(C)CC#N,0
12252,C(CO)[N+](=O)[O-],0
12287,C1=CC(=CN=C1)Cl,0
12443,C12=C(C(=C(C(=C1Br)Br)Br)Br)C(=O)OC2=O,0
12573,C1=CC=C(C=C1)P(Cl)Cl,0
12688,CCCC[Sn](CCCC)(Cl)Cl,1
12699,CN(C(=O)N)N=O,0
12855,C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2,0
12856,C1=CC=C2C(=C1)N=C(S2)C3=CC=CC=N3,0
12868,C1(=C(C(=C(C(=C1Cl)Cl)C(=O)Cl)Cl)Cl)C(=O)Cl,0
12884,C1=CC=C(C=C1)N2C3=CC=CC=C3C(=O)C2=O,0
12888,C1=CC=C(C=C1)C2=NN=C(O2)C3=CC=CC=C3,0
12971,C=CC(CCl)Cl,0
12998,C=COCCOCCOC=C,0
13089,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,0
13097,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,0
13144,CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Ca+2],0
13150,CC(C)(C)C(=O)C(=O)O,0
13192,C(CCCN=C=O)CCN=C=O,0
13214,C1=CC(=CC=C1[N+](=O)[O-])[O-].[Na+],0
13356,C(C#N)C(=C(C#N)C#N)N,0
13578,C(COCCO)N,0
13610,C1CCC(CC1)(C#N)O,0
13619,C1=C(C=C(C(=C1O)Cl)Cl)Cl,1
13624,C1=CC=C2C(=C1)NC(=N2)N,0
13796,CCOC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OCC)OCC)OCC.Cl,1
13836,C[N+](C)(C)CCCl.[Cl-],0
14127,CCCCCCOC(=O)C1=CC=C(C=C1)O,1
14138,CCCCCCCOC(=O)C1=CC=C(C=C1)O,1
14219,CN(C)C(=N)N=C(N)N.Cl,0
14223,C(CO)N(CCO)N=O,0
14233,CC(C)(C)NC(=O)N,0
14310,CCCCNC1=CC=CC=C1,0
14425,CCCCCCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,1
14642,CCCCCCCCOC(=O)C1=CC=C(C=C1)O,1
15069,C1=C(N=CS1)C#N,0
15139,COC1=CC=CC=C1N2CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F,0
15412,CCCCN(CCCC)C(=S)SSC(=S)N(CCCC)CCCC,1
15546,C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl,0
15560,C(C(C(CC(=O)O)C(=O)O)C(=O)O)C(=O)O,0
15678,C(CC#N)CC(CCC#N)C#N,0
15766,CSC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,0
15767,COC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,0
15965,C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N,0
16004,C1=CC(=NC(=C1)Cl)C(Cl)(Cl)Cl,0
16013,C1=CC(=CC=C1N=NC2=C(NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],0
16230,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.Cl,0
16231,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,0
16258,C1=CC=C2C(=C1)C(=O)NC(=O)O2,0
