Gene,Sample1,Sample2,Sample3
10.248,10.248,11.4674,202954_at
10.1193,10.1193,9.3407,202963_at
4.3791,4.3791,4.1132,202986_at
5.2383,5.2383,6.3439,202990_at
7.8185,7.8185,7.8483,202996_at
7.8217,7.8217,8.1006,203013_at
5.7677,5.7677,6.2778,203038_at
10.0283,10.0283,11.0871,203046_s_at
8.576,8.576,8.306,203047_at
8.0819,8.0819,8.2671,203050_at
7.9715,7.9715,7.6036,203054_s_at
7.0945,7.0945,7.4799,203067_at
7.8938,7.8938,7.8734,203068_at
7.616,7.616,8.4658,203073_at
7.7938,7.7938,8.419,203105_s_at
8.5811,8.5811,8.1973,203117_s_at
7.4627,7.4627,7.884,203119_at
10.197,10.197,9.7278,203120_at
8.5957,8.5957,8.5293,203127_s_at
6.3833,6.3833,5.9682,203130_s_at
9.274,9.274,10.5424,203138_at
6.5898,6.5898,5.2373,203154_s_at
6.7983,6.7983,7.5356,203167_at
8.5848,8.5848,8.2856,203171_s_at
6.6222,6.6222,7.6843,203186_s_at
6.2082,6.2082,6.6072,203188_at
5.1358,5.1358,6.2188,203192_at
7.2571,7.2571,6.4141,203201_at
6.1336,6.1336,5.8868,203208_s_at
9.4446,9.4446,10.5642,203209_at
10.1577,10.1577,10.3796,203213_at
8.5672,8.5672,8.9134,203217_s_at
9.0616,9.0616,9.0465,203218_at
8.5635,8.5635,8.9971,203221_at
9.4053,9.4053,8.704,203228_at
6.4994,6.4994,8.7594,203233_at
9.0622,9.0622,8.0491,203246_s_at
4.3185,4.3185,4.1135,203256_at
7.4879,7.4879,8.1955,203258_at
11.9253,11.9253,10.0146,203279_at
8.1019,8.1019,8.1937,203285_s_at
6.7791,6.7791,7.9349,203288_at
6.8883,6.8883,6.582,203291_at
8.6292,8.6292,8.3532,203301_s_at
10.4137,10.4137,9.1443,203302_at
9.575,9.575,8.8829,203303_at
5.6632,5.6632,6.1088,203304_at
7.3663,7.3663,6.6824,203306_s_at
7.8121,7.8121,8.0737,203336_s_at
9.3957,9.3957,9.0755,203338_at
9.3209,9.3209,9.2768,203341_at
8.1371,8.1371,8.5233,203342_at
6.3549,6.3549,6.2082,203343_at
11.5561,11.5561,9.9834,203346_s_at
10.9317,10.9317,11.4535,203358_s_at
6.2506,6.2506,6.7427,203360_s_at
7.4324,7.4324,7.9424,203367_at
13.8058,13.8058,8.3929,203373_at
9.3964,9.3964,8.4956,203379_at
5.4873,5.4873,6.1112,203395_s_at
8.2749,8.2749,8.7867,203405_at
9.1515,9.1515,9.1489,203409_at
7.9943,7.9943,9.0142,203418_at
7.8491,7.8491,8.0213,203442_x_at
7.6422,7.6422,7.5161,203456_at
5.5524,5.5524,5.722,203458_at
5.6242,5.6242,5.6226,203464_s_at
6.7193,6.7193,6.5006,203465_at
9.8814,9.8814,9.3833,203494_s_at
8.4352,8.4352,7.5908,203512_at
7.9478,7.9478,7.5146,203521_s_at
8.4318,8.4318,6.8356,203530_s_at
6.666,6.666,7.0353,203546_at
4.1127,4.1127,5.5644,203557_s_at
5.7722,5.7722,6.4716,203566_s_at
4.1132,4.1132,4.1138,203570_at
8.6175,8.6175,8.9521,203574_at
8.9228,8.9228,7.9824,203575_at
8.0002,8.0002,8.8459,203582_s_at
9.2651,9.2651,9.7261,203616_at
6.3807,6.3807,5.361,203627_at
8.4559,8.4559,7.3464,203640_at
9.4207,9.4207,9.5122,203648_at
9.8557,9.8557,8.8858,203659_s_at
11.0871,11.0871,9.9622,203675_at
6.2354,6.2354,5.4128,203685_at
7.7071,7.7071,7.9154,203709_at
11.5769,11.5769,9.8805,203725_at
5.438,5.438,4.271,203726_s_at
8.0638,8.0638,8.2376,203727_at
10.7362,10.7362,11.1437,203755_at
6.7671,6.7671,6.4892,203775_at
11.3353,11.3353,9.6963,203787_at
9.9411,9.9411,9.3471,203848_at
6.7769,6.7769,8.0103,203857_s_at
9.323,9.323,8.5218,203884_s_at
9.8001,9.8001,9.1281,203885_at
9.6112,9.6112,10.2634,203897_at
5.986,5.986,5.9989,203911_at
9.252,9.252,9.2383,203919_at
7.6104,7.6104,7.9105,203931_s_at
5.8161,5.8161,7.4828,203973_s_at
8.0789,8.0789,8.2911,204000_at
4.9364,4.9364,5.4754,204042_at
7.9648,7.9648,9.1222,204087_s_at
9.1339,9.1339,9.5489,204089_x_at
7.5553,7.5553,7.3726,204106_at
8.4564,8.4564,9.5726,204126_s_at
7.635,7.635,7.6763,204143_s_at
7.6736,7.6736,8.8812,204252_at
4.6686,4.6686,5.1104,204256_at
11.6948,11.6948,11.6512,204285_s_at
9.6837,9.6837,9.4364,204313_s_at
7.2973,7.2973,7.3369,204418_x_at
7.7907,7.7907,6.7067,204458_at
8.7806,8.7806,9.2315,204484_at
8.3211,8.3211,9.3848,204489_s_at
7.3553,7.3553,7.607,204514_at
5.8863,5.8863,4.114,204517_at
4.656,4.656,4.5961,204542_at
6.7506,6.7506,7.3865,204549_at
8.5733,8.5733,8.9811,204587_at
7.7266,7.7266,8.4366,204605_at
8.6186,8.6186,9.0446,204610_s_at
8.3164,8.3164,8.4357,204617_s_at
5.3101,5.3101,6.1481,204656_at
7.8233,7.8233,7.9989,204662_at
5.2897,5.2897,4.2688,204679_at
6.8401,6.8401,7.2264,204711_at
4.9983,4.9983,5.5434,204729_s_at
7.0152,7.0152,6.9133,204756_at
5.3017,5.3017,5.6726,204757_s_at
7.0721,7.0721,5.9588,204761_at
5.6455,5.6455,6.4378,204781_s_at
7.3709,7.3709,7.345,204788_s_at
7.0149,7.0149,8.0324,204808_s_at
8.9763,8.9763,8.1785,204809_at
7.6308,7.6308,8.0789,204812_at
10.4925,10.4925,10.4534,204825_at
6.9759,6.9759,7.3921,204826_at
8.4697,8.4697,9.3485,204828_at
6.6164,6.6164,6.9318,204849_at
8.7237,8.7237,7.7149,204937_s_at
9.8613,9.8613,10.3819,204949_at
7.8819,7.8819,7.7922,204977_at
8.1124,8.1124,8.2289,204985_s_at
8.8672,8.8672,10.0884,205036_at
7.3783,7.3783,8.0032,205046_at
8.3268,8.3268,7.8995,205051_s_at
11.4812,11.4812,12.9295,205055_at
7.4839,7.4839,8.9461,205085_at
5.3335,5.3335,5.4644,205088_at
6.393,6.393,6.9687,205120_s_at
6.3381,6.3381,5.8331,205130_at
4.1135,4.1135,4.1142,205161_s_at
8.1177,8.1177,8.009,205172_x_at
7.1565,7.1565,6.4788,205173_x_at
5.5874,5.5874,5.7403,205190_at
8.4166,8.4166,8.4195,205202_at
6.8691,6.8691,7.8225,205205_at
5.8889,5.8889,4.7384,205376_at
7.3018,7.3018,7.4324,205379_at
7.1336,7.1336,6.9467,205398_s_at
5.108,5.108,4.4788,205450_at
4.5379,4.5379,4.7055,205451_at
7.3355,7.3355,8.4323,205452_at
7.6809,7.6809,7.6183,205562_at
4.5045,4.5045,4.1144,205573_s_at
5.9941,5.9941,5.9975,205607_s_at
7.2059,7.2059,7.6893,205633_s_at
4.4573,4.4573,6.2483,205691_at
5.9269,5.9269,4.8561,205750_at
7.3518,7.3518,6.2168,205811_at
7.3176,7.3176,8.3145,205895_s_at
8.7985,8.7985,9.3132,205909_at
7.3549,7.3549,7.9089,205963_s_at
10.9027,10.9027,10.3632,206015_s_at
9.3579,9.3579,9.8134,206050_s_at
7.807,7.807,8.8127,206066_s_at
5.3629,5.3629,4.4511,206109_at
10.3807,10.3807,10.0471,206173_x_at
7.9981,7.9981,8.8217,206364_at
9.6997,9.6997,9.1634,206571_s_at
13.708,13.708,11.4614,206662_at
9.4717,9.4717,9.7313,206688_s_at
7.3323,7.3323,7.7887,206723_s_at
8.3272,8.3272,7.7441,206770_s_at
8.5385,8.5385,8.646,206846_s_at
7.0422,7.0422,8.3632,207163_s_at
8.9593,8.9593,8.6487,207196_s_at
6.7386,6.7386,7.3197,207515_s_at
4.1138,4.1138,4.1146,207620_s_at
8.1463,8.1463,8.1838,207700_s_at
9.8604,9.8604,9.3188,207842_s_at
5.582,5.582,7.0251,207871_s_at
6.9386,6.9386,7.1727,207877_s_at
4.7592,4.7592,4.6796,208190_s_at
8.0427,8.0427,7.7172,208309_s_at
9.0527,9.0527,9.1216,208398_s_at
6.5474,6.5474,5.7245,208407_s_at
8.0294,8.0294,8.4289,208424_s_at
4.114,4.114,4.1147,208510_s_at
7.4382,7.4382,7.8819,208626_s_at
10.8113,10.8113,9.7641,208634_s_at
10.9764,10.9764,10.058,208647_at
10.2326,10.2326,13.6025,208690_s_at
8.5182,8.5182,8.8384,208716_s_at
10.4425,10.4425,11.2092,208717_at
14.5283,14.5283,14.4893,208763_s_at
5.6313,5.6313,4.1149,208820_at
9.966,9.966,10.5615,208847_s_at
10.0631,10.0631,8.112,208872_s_at
7.7153,7.7153,7.6115,208898_at
8.2504,8.2504,7.8137,208936_x_at
